big_shaman,big_warrior,bomb_warrior,burn_mage,control_paladin,control_warrior,deathrattle_hunter,handlock,khadgar_mage,mech_hunter,mech_paladin,midrange_hunter,miracle_rogue,murloc_shaman,resurrect_priest,secret_hunter,shudderwock_shaman,silence_priest,spell_hunter,tempo_rogue,thief_rogue,token_druid,zoo_warlock
Muckmorpher,Witchwood Grizzly,Wrenchcalibur,Messenger Raven,Duel!,Omega Devastator,Houndmaster Shaw,Sunreaver Warmage,Rotten Applebaum,Ursatron,Truesilver Champion,Kill Command,Hench-Clan Burglar,Underbelly Angler,Convincing Infiltrator,Kill Command,Twilight Drake,Acolyte of Pain,Marked Shot,Raiding Party,Fan of Knives,Savage Roar,Dire Wolf Alpha
Muckmorpher,Zilliax,Wrenchcalibur,Messenger Raven,Zilliax,Omega Devastator,Marked Shot,Sunreaver Warmage,Zilliax,Explodinator,Truesilver Champion,Master's Call,Hench-Clan Burglar,Coldlight Seer,Mass Hysteria,Masked Contender,Twilight Drake,Acolyte of Pain,Wing Blast,SI:7 Agent,SI:7 Agent,Archmage Vargoth,EVIL Genius
Zilliax,Amani War Bear,Brawl,Stargazer Luna,Amani War Bear,Brawl,Marked Shot,Zilliax,Safeguard,Explodinator,Mechano-Egg,Master's Call,Vendetta,Coldlight Seer,Mass Hysteria,Masked Contender,Giggling Inventor,Arcane Watcher,Wing Blast,SI:7 Agent,SI:7 Agent,Mark of the Loa,EVIL Genius
Cairne Bloodhoof,Amani War Bear,Brawl,Sandbinder,Amani War Bear,Brawl,Wing Blast,Aranasi Broodmother,Astromancer,Replicating Menace,Mechano-Egg,Unleash the Hounds,Vendetta,Murloc Warleader,Witchwood Grizzly,Unleash the Hounds,Giggling Inventor,Arcane Watcher,Baited Arrow,Dread Corsair,Academic Espionage,Mark of the Loa,Knife Juggler
Eureka!,"Dr. Boom, Mad Genius",Dyn-o-matic,Giggling Inventor,Batterhead,Darius Crowley,Wing Blast,Siphon Soul,Astromancer,Replicating Menace,Wargear,Unleash the Hounds,Barista Lynchen,Murloc Warleader,Zilliax,Lifedrinker,Hagatha's Scheme,Faceless Rager,Baited Arrow,Dread Corsair,Hench-Clan Burglar,Soul of the Forest,Knife Juggler
Eureka!,"Akali, the Rhino",Dyn-o-matic,Zilliax,Batterhead,Dyn-o-matic,Zilliax,Siphon Soul,Crowd Roaster,Leeroy Jenkins,Wargear,Dire Frenzy,"Gral, the Shark",Nightmare Amalgam,Damaged Stegotron,Lifedrinker,Hagatha's Scheme,Faceless Rager,Unleash the Beast,Lifedrinker,Hench-Clan Burglar,Soul of the Forest,Scarab Egg
Al'Akir the Windlord,Grommash Hellscream,Seaforium Bomber,Archmage Antonidas,Tirion Fordring,Dyn-o-matic,Mechanical Whelp,Lord Godfrey,Crowd Roaster,Wargear,Zilliax,Dire Frenzy,Leeroy Jenkins,Nightmare Amalgam,Damaged Stegotron,Marked Shot,Zilliax,Hench-Clan Shadequill,Unleash the Beast,Lifedrinker,Vendetta,Swipe,Scarab Egg
Hagatha the Witch,Oondasta,Seaforium Bomber,Alexstrasza,Oondasta,Harrison Jones,Mechanical Whelp,Twisting Nether,Power of Creation,Wargear,Glowstone Technician,Tundra Rhino,Zilliax,Murloc Tastyfin,Catrina Muerte,Marked Shot,Swampqueen Hagatha,Hench-Clan Shadequill,Vereesa Windrunner,Waggle Pick,Vendetta,Swipe,Magic Carpet
Walking Fountain,The Boomship,Zilliax,Sea Giant,Ysera,Supercollider,Oblivitron,Twisting Nether,Power of Creation,Zilliax,Glowstone Technician,Savannah Highmane,Gadgetzan Auctioneer,Murloc Tastyfin,Mosh'ogg Enforcer,Baited Arrow,Hagatha the Witch,Unsleeping Soul,Jepetto Joybuzz,Waggle Pick,Walk the Plank,Wispering Woods,Magic Carpet
Walking Fountain,Dimensional Ripper,Blastmaster Boom,Sea Giant,Big Bad Archmage,Zilliax,Unleash the Beast,Lord Jaraxxus,Kalecgos,Missile Launcher,Missile Launcher,Unleash the Beast,Heistbaron Togwaggle,Scargil,Mosh'ogg Enforcer,Subject 9,Walking Fountain,Unsleeping Soul,Alexstrasza,Captain Greenskin,Myra's Unstable Element,Wispering Woods,Arch-Villain Rafaam
Ysera,Dimensional Ripper,"Dr. Boom, Mad Genius",Mountain Giant,Big Bad Archmage,"Dr. Boom, Mad Genius",Unleash the Beast,Mountain Giant,Mountain Giant,Missile Launcher,Kangor's Endless Army,Unleash the Beast,Mountain Giant,Bloodlust,Mass Resurrection,Zilliax,Walking Fountain,Witchwood Grizzly,Malygos,Leeroy Jenkins,Tak Nozwhisker,The Forest's Aid,Sea Giant
Big Bad Archmage,The Boom Reaver,Archivist Elysiana,Mountain Giant,"Shirvallah, the Tiger",Archivist Elysiana,Zul'jin,Mountain Giant,Mountain Giant,Boommaster Flark,Tirion Fordring,Zul'jin,Mountain Giant,Bloodlust,Mass Resurrection,Unleash the Beast,Shudderwock,Witchwood Grizzly,Zul'jin,Myra's Unstable Element,Tess Greymane,The Forest's Aid,Sea Giant
